year,period_description,num_stations,num_connections,network_density,average_degree,avg_shortest_path,connectivity_ratio
1980,Early Development,8,5,0.17857142857142858,1.25,2.3333333333333335,0.75
1990,Pre-Reform Era,16,9,0.075,1.125,2.3333333333333335,0.375
2000,Millennium Expansion,20,11,0.05789473684210526,1.1,2.3333333333333335,0.3
2008,Olympic Games Expansion,77,62,0.021189336978810664,1.6103896103896105,7.475783475783476,0.35064935064935066
2015,Modern Growth Phase,257,264,0.008025291828793774,2.054474708171206,15.484164570075476,0.9066147859922179
2020,Recent Development,321,337,0.006561526479750779,2.0996884735202492,18.43125138427464,0.9376947040498442
